"sigla_tribunal","procedimento","ramo_justica","sigla_grau","uf_oj","municipio_oj","id_ultimo_oj","nome","mesano_cnm1","mesano_sent","casos_novos_2026","julgados_2026","prim_sent2026","suspensos_2026","dessobrestados_2026","cumprimento_meta1","distm2_a","julgm2_a","suspm2_a","cumprimento_meta2a","distm2_ant","julgm2_ant","suspm2_ant","desom2_ant","cumprimento_meta2ant","distm4_a","julgm4_a","suspm4_a","cumprimento_meta4a","distm4_b","julgm4_b","suspm4_b","cumprimento_meta4b"
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CANDEIAS",15964,"296ª ZONA ELEITORAL - CANDEIAS",NA,NA,0,0,0,0,0,0,27,27,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CAPELINHA",15735,"67ª ZONA ELEITORAL - CAPELINHA",NA,NA,0,0,0,0,0,0,221,221,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CAPINOPOLIS",15970,"302ª ZONA ELEITORAL - CAPINÓPOLIS",NA,NA,0,0,0,0,0,0,33,32,0,138.528138528139,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CARANDAI",15736,"68ª ZONA ELEITORAL - CARANDAÍ",NA,NA,0,0,0,0,0,0,142,141,0,141.851106639839,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CARANGOLA",15737,"69ª ZONA ELEITORAL - CARANGOLA",NA,NA,0,0,0,0,0,0,287,287,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CARATINGA",15739,"71ª ZONA ELEITORAL - CARATINGA",NA,NA,0,0,0,0,0,0,283,283,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CARATINGA",15740,"72ª ZONA ELEITORAL - CARATINGA",NA,NA,0,0,0,0,0,0,465,464,1,142.857142857143,1,0,1,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CARLOS CHAGAS",15741,"73ª ZONA ELEITORAL - CARLOS CHAGAS",NA,NA,0,0,0,0,0,0,124,124,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CARMO DO CAJURU",15955,"287ª ZONA ELEITORAL - CARMO DO CAJURU",NA,NA,0,0,0,0,0,0,44,44,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CARMO DO PARANAIBA",15743,"76ª ZONA ELEITORAL - CARMO DO PARANAÍBA",NA,NA,0,0,0,0,0,0,73,73,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
