"sigla_tribunal","procedimento","ramo_justica","sigla_grau","uf_oj","municipio_oj","id_ultimo_oj","nome","mesano_cnm1","mesano_sent","casos_novos_2026","julgados_2026","prim_sent2026","suspensos_2026","dessobrestados_2026","cumprimento_meta1","distm2_a","julgm2_a","suspm2_a","cumprimento_meta2a","distm2_ant","julgm2_ant","suspm2_ant","desom2_ant","cumprimento_meta2ant","distm4_a","julgm4_a","suspm4_a","cumprimento_meta4a","distm4_b","julgm4_b","suspm4_b","cumprimento_meta4b"
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","DELMIRO GOUVEIA",16228,"40ª ZONA ELEITORAL - DELMIRO GOUVEIA","Dez 2025","Fev 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","DELMIRO GOUVEIA",16228,"40ª ZONA ELEITORAL - DELMIRO GOUVEIA","Dez 2025","Jan 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","DELMIRO GOUVEIA",16228,"40ª ZONA ELEITORAL - DELMIRO GOUVEIA","Dez 2025","Jul 2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","DELMIRO GOUVEIA",16228,"40ª ZONA ELEITORAL - DELMIRO GOUVEIA","Dez 2025","Jul 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","DELMIRO GOUVEIA",16228,"40ª ZONA ELEITORAL - DELMIRO GOUVEIA","Dez 2025","Mar 2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","DELMIRO GOUVEIA",16228,"40ª ZONA ELEITORAL - DELMIRO GOUVEIA","Dez 2025","Mar 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","DELMIRO GOUVEIA",16228,"40ª ZONA ELEITORAL - DELMIRO GOUVEIA","Dez 2025","NA NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","DELMIRO GOUVEIA",16228,"40ª ZONA ELEITORAL - DELMIRO GOUVEIA","Dez 2025","Out 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","GIRAU DO PONCIANO",16232,"44ª ZONA ELEITORAL - GIRAU DO PONCIANO","Dez 2025","Jul 2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","GIRAU DO PONCIANO",16232,"44ª ZONA ELEITORAL - GIRAU DO PONCIANO","Dez 2025","Jul 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","GIRAU DO PONCIANO",16232,"44ª ZONA ELEITORAL - GIRAU DO PONCIANO","Dez 2025","Jul 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","GIRAU DO PONCIANO",16232,"44ª ZONA ELEITORAL - GIRAU DO PONCIANO","Dez 2025","Jun 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","GIRAU DO PONCIANO",16232,"44ª ZONA ELEITORAL - GIRAU DO PONCIANO","Dez 2025","NA NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","IGACI",16233,"45ª ZONA ELEITORAL - IGACI","Dez 2025","Ago 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","IGACI",16233,"45ª ZONA ELEITORAL - IGACI","Dez 2025","Ago 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","IGACI",16233,"45ª ZONA ELEITORAL - IGACI","Dez 2025","Fev 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","IGACI",16233,"45ª ZONA ELEITORAL - IGACI","Dez 2025","Jul 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","IGACI",16233,"45ª ZONA ELEITORAL - IGACI","Dez 2025","Mar 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","IGACI",16233,"45ª ZONA ELEITORAL - IGACI","Dez 2025","NA NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","IGACI",16233,"45ª ZONA ELEITORAL - IGACI","Dez 2025","Nov 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Ago 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Ago 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Fev 2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Jul 2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Jul 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Mai 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Mar 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","NA NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Nov 2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Nov 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Out 2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","JOAQUIM GOMES",16241,"53ª ZONA ELEITORAL - JOAQUIM GOMES","Dez 2025","Set 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","MACEIO",16189,"1ª ZONA ELEITORAL - MACEIO","Dez 2025","Abr 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","MACEIO",16189,"1ª ZONA ELEITORAL - MACEIO","Dez 2025","Ago 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","MACEIO",16189,"1ª ZONA ELEITORAL - MACEIO","Dez 2025","Fev 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-AL","Conhecimento criminal","Justiça Eleitoral","G1","AL","MACEIO",16189,"1ª ZONA ELEITORAL - MACEIO","Dez 2025","Jan 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
